film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,rating,name,category
920,Unbreakable Karate,A Amazing Character Study of a Robot And a Student who must Chase a Robot in Australia,2006,3,0.99,62,16.99,G,English,New
873,Sweethearts Suspects,A Brilliant Character Study of a Frisbee And a Sumo Wrestler who must Confront a Woman in The Gulf of Mexico,2006,3,0.99,108,13.99,G,English,Children
197,Crusade Honey,A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park,2006,4,2.99,112,27.99,R,English,Sports
162,Clueless Bucket,A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House,2006,4,2.99,95,13.99,R,English,Action
479,Jedi Beneath,A Astounding Reflection of a Explorer And a Dentist who must Pursue a Student in Nigeria,2006,7,0.99,128,12.99,PG,English,Family
317,Fireball Philadelphia,A Amazing Yarn of a Dentist And a A Shark who must Vanquish a Madman in An Abandoned Mine Shaft,2006,4,0.99,148,25.99,PG,English,Comedy
648,Outlaw Hanky,A Thoughtful Story of a Astronaut And a Composer who must Conquer a Dog in The Sahara Desert,2006,7,4.99,148,17.99,PG-13,English,Travel
876,Tarzan Videotape,A Fast-Paced Display of a Lumberjack And a Mad Scientist who must Succumb a Sumo Wrestler in The Sahara Desert,2006,3,2.99,91,11.99,PG-13,English,Horror
375,Grail Frankenstein,A Unbelieveable Saga of a Teacher And a Monkey who must Fight a Girl in An Abandoned Mine Shaft,2006,4,2.99,85,17.99,NC-17,English,Action
356,Giant Troopers,A Fateful Display of a Feminist And a Monkey who must Vanquish a Monkey in The Canadian Rockies,2006,5,2.99,102,10.99,R,English,Children
96,Breaking Home,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,2006,4,2.99,169,21.99,PG-13,English,New
10,Aladdin Calendar,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,6,4.99,63,24.99,NC-17,English,Sports
270,Earth Vision,A Stunning Drama of a Butler And a Madman who must Outrace a Womanizer in Ancient India,2006,7,0.99,85,29.99,NC-17,English,New
729,Rider Caddyshack,A Taut Reflection of a Monkey And a Womanizer who must Chase a Moose in Nigeria,2006,5,2.99,177,28.99,PG,English,Sports
294,Expecations Natural,A Amazing Drama of a Butler And a Husband who must Reach a A Shark in A U-Boat,2006,5,4.99,138,26.99,PG-13,English,Travel
408,Head Stranger,A Thoughtful Saga of a Hunter And a Crocodile who must Confront a Dog in The Gulf of Mexico,2006,4,4.99,69,28.99,R,English,Games
282,Encounters Curtain,A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans,2006,5,0.99,92,20.99,NC-17,English,Drama
378,Greatest North,A Astounding Character Study of a Secret Agent And a Robot who must Build a A Shark in Berlin,2006,5,2.99,93,24.99,NC-17,English,Music
947,Vision Torque,A Thoughtful Documentary of a Dog And a Man who must Sink a Man in A Shark Tank,2006,5,0.99,59,16.99,PG-13,English,Foreign
501,Kissing Dolls,A Insightful Reflection of a Pioneer And a Teacher who must Build a Composer in The First Manned Space Station,2006,3,4.99,141,9.99,R,English,Action
990,World Leathernecks,A Unbelieveable Tale of a Pioneer And a Astronaut who must Overcome a Robot in An Abandoned Amusement Park,2006,3,0.99,171,13.99,PG-13,English,Horror
312,Fiddler Lost,A Boring Tale of a Squirrel And a Dog who must Challenge a Madman in The Gulf of Mexico,2006,4,4.99,75,20.99,R,English,Sci-Fi
752,Runner Madigan,A Thoughtful Documentary of a Crocodile And a Robot who must Outrace a Womanizer in The Outback,2006,6,0.99,101,27.99,NC-17,English,Music
271,Easy Gladiator,A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India,2006,5,4.99,148,12.99,G,English,Action
132,Chainsaw Uptown,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,2006,6,0.99,114,25.99,PG,English,Sci-Fi
144,Chinatown Gladiator,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,2006,7,4.99,61,24.99,PG,English,New
824,Spartacus Cheaper,A Thrilling Panorama of a Pastry Chef And a Secret Agent who must Overcome a Student in A Manhattan Penthouse,2006,4,4.99,52,19.99,NC-17,English,Family
740,Rollercoaster Bringing,A Beautiful Drama of a Robot And a Lumberjack who must Discover a Technical Writer in A Shark Tank,2006,5,2.99,153,13.99,PG-13,English,Horror
706,Queen Luke,A Astounding Story of a Girl And a Boy who must Challenge a Composer in New Orleans,2006,5,4.99,163,22.99,PG,English,Drama
657,Paradise Sabrina,A Intrepid Yarn of a Car And a Moose who must Outrace a Crocodile in A Manhattan Penthouse,2006,5,2.99,48,12.99,PG-13,English,Comedy
329,Forrest Sons,A Thrilling Documentary of a Forensic Psychologist And a Butler who must Defeat a Explorer in A Jet Boat,2006,4,2.99,63,15.99,R,English,Action
304,Fargo Gandhi,A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback,2006,3,2.99,130,28.99,G,English,Children
796,Sierra Divide,A Emotional Character Study of a Frisbee And a Mad Scientist who must Build a Madman in California,2006,3,0.99,135,12.99,NC-17,English,Sports
433,Horn Working,A Stunning Display of a Mad Scientist And a Technical Writer who must Succumb a Monkey in A Shark Tank,2006,4,2.99,95,23.99,PG,English,Animation
379,Greedy Roots,A Amazing Reflection of a A Shark And a Butler who must Chase a Hunter in The Canadian Rockies,2006,7,0.99,166,14.99,R,English,Drama
853,Stranger Strangers,A Awe-Inspiring Yarn of a Womanizer And a Explorer who must Fight a Woman in The First Manned Space Station,2006,3,4.99,139,12.99,G,English,Children
807,Sleuth Orient,A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India,2006,4,0.99,87,25.99,NC-17,English,Games
788,Ship Wonderland,A Thrilling Saga of a Monkey And a Frisbee who must Escape a Explorer in The Outback,2006,5,2.99,104,15.99,R,English,Documentary
941,Videotape Arsenic,A Lacklusture Display of a Girl And a Astronaut who must Succumb a Student in Australia,2006,4,4.99,145,10.99,NC-17,English,Games
183,Conversation Downhill,A Taut Character Study of a Husband And a Waitress who must Sink a Squirrel in A MySQL Convention,2006,4,4.99,112,14.99,R,English,Family
571,Metal Armageddon,A Thrilling Display of a Lumberjack And a Crocodile who must Meet a Monkey in A Baloon Factory,2006,6,2.99,161,26.99,PG-13,English,Documentary
152,Circus Youth,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,2006,5,2.99,90,13.99,PG-13,English,Children
296,Express Lonely,A Boring Drama of a Astronaut And a Boat who must Face a Boat in California,2006,5,2.99,178,23.99,R,English,Sci-Fi
121,Carol Texas,A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,2006,4,2.99,151,15.99,PG,English,Animation
451,Igby Maker,A Epic Documentary of a Hunter And a Dog who must Outgun a Dog in A Baloon Factory,2006,7,4.99,160,12.99,NC-17,English,Travel
999,Zoolander Fiction,A Fateful Reflection of a Waitress And a Boat who must Discover a Sumo Wrestler in Ancient China,2006,5,2.99,101,28.99,R,English,Children
735,Robbers Joon,A Thoughtful Story of a Mad Scientist And a Waitress who must Confront a Forensic Psychologist in Soviet Georgia,2006,7,2.99,102,26.99,PG-13,English,Children
712,Raiders Antitrust,A Amazing Drama of a Teacher And a Feminist who must Meet a Woman in The First Manned Space Station,2006,4,0.99,82,11.99,PG-13,English,Documentary
56,Barefoot Manchurian,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,2006,6,2.99,129,15.99,G,English,Action
568,Memento Zoolander,A Touching Epistle of a Squirrel And a Explorer who must Redeem a Pastry Chef in The Sahara Desert,2006,4,4.99,77,11.99,NC-17,English,Comedy
353,Gentlemen Stage,A Awe-Inspiring Reflection of a Monkey And a Student who must Overcome a Dentist in The First Manned Space Station,2006,6,2.99,125,22.99,NC-17,English,Foreign
738,Rocketeer Mother,A Awe-Inspiring Character Study of a Robot And a Sumo Wrestler who must Discover a Womanizer in A Shark Tank,2006,3,0.99,178,27.99,PG-13,English,Foreign
358,Gilmore Boiled,A Unbelieveable Documentary of a Boat And a Husband who must Succumb a Student in A U-Boat,2006,5,0.99,163,29.99,R,English,Classics
993,Wrong Behavior,A Emotional Saga of a Crocodile And a Sumo Wrestler who must Discover a Mad Cow in New Orleans,2006,6,2.99,178,10.99,PG-13,English,Children
558,Mannequin Worst,A Astounding Saga of a Mad Cow And a Pastry Chef who must Discover a Husband in Ancient India,2006,3,2.99,71,18.99,PG-13,English,New
57,Basic Easy,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,2006,4,2.99,90,18.99,PG-13,English,Travel
981,Wolves Desire,A Fast-Paced Drama of a Squirrel And a Robot who must Succumb a Technical Writer in A Manhattan Penthouse,2006,7,0.99,55,13.99,NC-17,English,Travel
336,French Holiday,A Thrilling Epistle of a Dog And a Feminist who must Kill a Madman in Berlin,2006,5,4.99,99,22.99,PG,English,Documentary
140,Cheaper Clyde,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,2006,6,0.99,87,23.99,G,English,Sci-Fi
440,Hunger Roof,A Unbelieveable Yarn of a Student And a Database Administrator who must Outgun a Husband in An Abandoned Mine Shaft,2006,6,0.99,105,21.99,G,English,Foreign
606,Mummy Creatures,A Fateful Character Study of a Crocodile And a Monkey who must Meet a Dentist in Australia,2006,3,0.99,160,15.99,NC-17,English,Sports
90,Boulevard Mob,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,2006,3,0.99,63,11.99,R,English,New
536,Lovely Jingle,A Fanciful Yarn of a Crocodile And a Forensic Psychologist who must Discover a Crocodile in The Outback,2006,3,2.99,65,18.99,PG,English,Classics
609,Muscle Bright,A Stunning Panorama of a Sumo Wrestler And a Husband who must Redeem a Madman in Ancient India,2006,7,2.99,185,23.99,G,English,Travel
727,Resurrection Silverado,A Epic Yarn of a Robot And a Explorer who must Challenge a Girl in A MySQL Convention,2006,6,0.99,117,12.99,PG,English,Family
254,Driver Annie,A Lacklusture Character Study of a Butler And a Car who must Redeem a Boat in An Abandoned Fun House,2006,4,2.99,159,11.99,PG-13,English,Sports
818,Something Duck,A Boring Character Study of a Car And a Husband who must Outgun a Frisbee in The First Manned Space Station,2006,4,4.99,180,17.99,NC-17,English,Drama
931,Valentine Vanishing,A Thrilling Display of a Husband And a Butler who must Reach a Pastry Chef in California,2006,7,0.99,48,9.99,PG-13,English,Travel
101,Brotherhood Blanket,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,2006,3,0.99,73,26.99,R,English,Documentary
955,Walls Artist,A Insightful Panorama of a Teacher And a Teacher who must Overcome a Mad Cow in An Abandoned Fun House,2006,7,4.99,135,19.99,PG,English,Children
622,Newsies Story,A Action-Packed Character Study of a Dog And a Lumberjack who must Outrace a Moose in The Gulf of Mexico,2006,4,0.99,159,25.99,G,English,Documentary
323,Flight Lies,A Stunning Character Study of a Crocodile And a Pioneer who must Pursue a Teacher in New Orleans,2006,7,4.99,179,22.99,R,English,Sports
605,Mulholland Beast,A Awe-Inspiring Display of a Husband And a Squirrel who must Battle a Sumo Wrestler in A Jet Boat,2006,7,2.99,157,13.99,PG,English,Foreign
765,Saturn Name,A Fateful Epistle of a Butler And a Boy who must Redeem a Teacher in Berlin,2006,7,4.99,182,18.99,R,English,Comedy
835,Spy Mile,A Thrilling Documentary of a Feminist And a Feminist who must Confront a Feminist in A Baloon,2006,6,2.99,112,13.99,PG-13,English,Games
234,Disturbing Scarface,A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat,2006,6,2.99,94,27.99,R,English,Sci-Fi
264,Dwarfs Alter,A Emotional Yarn of a Girl And a Dog who must Challenge a Composer in Ancient Japan,2006,6,2.99,101,13.99,G,English,Games
670,Pelican Comforts,A Epic Documentary of a Boy And a Monkey who must Pursue a Astronaut in Berlin,2006,4,4.99,48,17.99,PG,English,Documentary
205,Dances None,A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park,2006,3,0.99,58,22.99,NC-17,English,Action
790,Shootist Superfly,A Fast-Paced Story of a Crocodile And a A Shark who must Sink a Pioneer in Berlin,2006,6,0.99,67,22.99,PG-13,English,Drama
561,Mask Peach,A Boring Character Study of a Student And a Robot who must Meet a Woman in California,2006,6,2.99,123,26.99,NC-17,English,New
849,Storm Happiness,A Insightful Drama of a Feminist And a A Shark who must Vanquish a Boat in A Shark Tank,2006,6,0.99,57,28.99,NC-17,English,Animation
259,Duck Racer,A Lacklusture Yarn of a Teacher And a Squirrel who must Overcome a Dog in A Shark Tank,2006,4,2.99,116,15.99,NC-17,English,Animation
512,League Hellfighters,A Thoughtful Saga of a A Shark And a Monkey who must Outgun a Student in Ancient China,2006,5,4.99,110,25.99,PG-13,English,Classics
926,Untouchables Sunrise,A Amazing Documentary of a Woman And a Astronaut who must Outrace a Teacher in An Abandoned Fun House,2006,5,2.99,120,11.99,NC-17,English,Documentary
97,Bride Intrigue,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,2006,7,0.99,56,24.99,G,English,Action
989,Working Microcosmos,A Stunning Epistle of a Dentist And a Dog who must Kill a Madman in Ancient China,2006,4,4.99,74,22.99,R,English,Travel
840,Stampede Disturbing,A Unbelieveable Tale of a Woman And a Lumberjack who must Fight a Frisbee in A U-Boat,2006,5,0.99,75,26.99,R,English,Games
726,Reservoir Adaptation,A Intrepid Drama of a Teacher And a Moose who must Kill a Car in California,2006,7,2.99,61,29.99,PG-13,English,Foreign
806,Sleepy Japanese,A Emotional Epistle of a Moose And a Composer who must Fight a Technical Writer in The Outback,2006,4,2.99,137,25.99,PG,English,New
868,Superfly Trip,A Beautiful Saga of a Lumberjack And a Teacher who must Build a Technical Writer in An Abandoned Fun House,2006,5,0.99,114,27.99,PG,English,Travel
689,Pollock Deliverance,A Intrepid Story of a Madman And a Frisbee who must Outgun a Boat in The Sahara Desert,2006,5,2.99,137,14.99,PG,English,Foreign
685,Platoon Instinct,A Thrilling Panorama of a Man And a Woman who must Reach a Woman in Australia,2006,6,4.99,132,10.99,PG-13,English,New
804,Sleeping Suspects,A Stunning Reflection of a Sumo Wrestler And a Explorer who must Sink a Frisbee in A MySQL Convention,2006,7,4.99,129,13.99,PG-13,English,Horror
370,Gorgeous Bingo,A Action-Packed Display of a Sumo Wrestler And a Car who must Overcome a Waitress in A Baloon Factory,2006,4,2.99,108,26.99,R,English,Children
569,Menagerie Rushmore,A Unbelieveable Panorama of a Composer And a Butler who must Overcome a Database Administrator in The First Manned Space Station,2006,7,2.99,147,18.99,G,English,Animation
531,Lose Inch,A Stunning Reflection of a Student And a Technical Writer who must Battle a Butler in The First Manned Space Station,2006,3,0.99,137,18.99,R,English,Foreign
346,Galaxy Sweethearts,A Emotional Reflection of a Womanizer And a Pioneer who must Face a Squirrel in Berlin,2006,4,4.99,128,13.99,R,English,Classics
749,Rules Human,A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House,2006,6,4.99,153,19.99,R,English,Horror
49,Badman Dawn,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,2006,6,2.99,162,22.99,R,English,Sci-Fi
